nfd,sender,id,ts,date,assetId,amount,usd,assetPriceAtTime
,MX4EWJ33NQAMYZVYPSXNQDT5DH3L2I2EKXNDHKSJ4ECAVQJ2BNDEZPM7CI,UZWZJFWWC5MMJOKTQQ7IARDLD3W5UDP6CIZJ3KNEDBFXGUK5PD2Q,1687306909,2023-06-21T00:21:49.000Z,796425061,4000,184.552662063989,0.046138165515997254
fisherman.algo,LVD6FPALL5MIYD6RWY4BYQO3TBJZJU7DLNGLHHTQQB6BTIHI6JTBSP2MZE,RCXPQWSPQT5WT7IJZSE5XSI4BPCRIDUXUTL25CFOPIPKNSI7CVSQ,1687306526,2023-06-21T00:15:26.000Z,796425061,36427,1680.674955251232,0.046138165515997254
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,UJZ632B3DEEM5TIEJJQDTLQKXJUKO7RLMKRDMOCCPBVWOZ4QRS2A,1687285639,2023-06-20T18:27:19.000Z,0,65,7.724355851558903,0.11883624387013696
roamoilanen.algo,C7FVVLZVOIWFSJUXRZIWWBJUYEZ2R22IX35A33XG5UDVCXXCX52NTC5QRE,ZFZPPDWFIAA3Y3SU6SXW4E7L6AJZLTDIIXPBC6HS5MX7FT26KNOQ,1687199682,2023-06-19T18:34:42.000Z,0,20,2.327114707683862,0.1163557353841931
doxxed.algo,3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,2NVB7TCK6O26CRHVXDOWL52V2DEDQZIRD2CI3FHRQA6AIJX6BQUA,1687199417,2023-06-19T18:30:17.000Z,0,100,11.63557353841931,0.1163557353841931
doxxed.algo,3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,F5XVGBZODMG57GCMW5A2HAQOHAEKQ5TN4IAJK6GMUEK3U6C5QRHA,1687198557,2023-06-19T18:15:57.000Z,796425061,931,44.71036382926324,0.048024021298886395
doxxed.algo,3II7TTLKYG6GVX7AZYVQ4AJS6C4MVESDYFOEGNL7H7Y6AZTHBRIREZL4WA,A7VUBVGJIOXYPSPWA5GCLYFW5TH5YMWDLLPKHLYEVKIAAZJL4XTA,1687198454,2023-06-19T18:14:14.000Z,796425061,69,3.44643704142895,0.04994836291926014
409.algo,OJMRO6OGTQR4GMOKU7GMRQMAQ6OWNLAJAMPIRILWNOSMV2CKXCOY76S42E,OP4VCKBBNJ2PMX7RILATWT3NEQRYCVIESYOADTSOVRIKYQ64RP4Q,1687172205,2023-06-19T10:56:45.000Z,0,10,1.1625337841646983,0.11625337841646984
godhatesnfts.algo,5EH3H3YJDP5HUEIDP3MRK2DHE7FIII4XEH2YLMS4V7GIMHSYLTZCXOIXWI,HFIDJN4LVCENWKLGPNLAK5ZXIPV65A4DCXEZZI3LTT24KARFWDIA,1687150274,2023-06-19T04:51:14.000Z,796425061,100,6.213029750003515,0.06213029750003515
mefra.coop.algo,64M5SOIWCRZFYYKSNADSSTVUMWRHERFWQPHAV5OVZDEN7KZ5QKNQOQ6T7Q,YUOVEJRH4F3TYCJLBUJMSGMYITIHRSWIHYGKELPHQXSBYMSZYQFA,1687126004,2023-06-18T22:06:44.000Z,796425061,200,12.066129658347013,0.06033064829173507
