donor,usd_value,perc,ids
Y5MR7GPJZAY7H7QOTS3MONOSOKVEEVGSRCUMBS55IP625TSEITYV5LLGF4,33.99598903383638,0.13413240386793868,K4G4JMVZHHQXRT7PWBYE3N5HG4VGVKCXWS5QV2NVQTXOU5A2RZMQ
BTV72TLOGSJHTWKSVMKUFUFJU2M6QJWMDUOMO4RCC42ALTF2HIKW6DQPDU,31.460912409848966,0.12413016739155874,4L2XEAR7MUUNOMK5VKBQ6JMZSRFCSBC3XA6JBRHJPCTC5X3XJUIQ
MPJKLGXAKOTBTFW2UBSVHME5HX235QBQYXIURGRVGIZTJQCE4X4HHG4KH4,30.401480922269442,0.11995014215325811,5MKP7ZNUWOLGZ3AMACOODVTVDOQFI2WVM7YKDTFA5D5ICWHUOBVQ
6BPGVJNRGHRU54F5MG7YK47JSAZ7TALSEKEE5IWO7ILB6Y5KLOVXDUWIWA,28.28223797293787,0.11158859247482109,Z7X5BDZHQTNXBOSQLLAPDGESC4XLW2KUYB4UILBP6GYMUQ3EP4XA,RYFTKRRWHSOOWFZNWPG2KFN6GT7F56AS4C3NAC7XTXOVDGEIVYTA
JVGFI5653YQIJ3DJPFDT3BH46S33OPQ6LMGFBMC6MWBZM2JVC7M6PBWBKU,25.220704488447492,0.09950920142112475,TOD6SXMO6FCDBQEFH6JUDL5WHPFFUAD6H4JVDGU22OQYOPES6S4Q
5DYIZMX7N4SAB44HLVRUGLYBPSN4UMPDZVTX7V73AIRMJQA3LKTENTLFZ4,25.14355186682698,0.09920479296304541,MPENYXLUSR4R3E74M5QGSRENYZB26T2XMNDUVLFGLKNAL3PMKYOQ
B3FAPQSMRVCACZ54VUY25JOKNLSHTHB2Q2GOVDYNOC46ZRQ56GLVTMMIUA,24.0816317639139,0.09501494880296961,XB44QDBD3ISXQ6IMUW6PN6OBOLGEJOAYXSYXVJFQTPX723GETRNA
C7FVVLZVOIWFSJUXRZIWWBJUYEZ2R22IX35A33XG5UDVCXXCX52NTC5QRE,23.06668095918722,0.09101042370707697,IWIMASK7VA465UQQOSU5DQ7EH77D6SJQFWUNDHRWR6NVZ623X73Q,ZV7XXLRGEXCB3LGUULH47J47XZ7TO6SOUNQIBPOJHZIOJNNNXMKA,NDQZMXH56M6W5M2AFNZKTVMVW5BQWWYUKLC34QYTOE3LLFH33MCQ,ZFZPPDWFIAA3Y3SU6SXW4E7L6AJZLTDIIXPBC6HS5MX7FT26KNOQ,UG3Q7LUDQYQT73T6KJG5ZKMRGQIZO4LOMKRFVAD34Z64BCQE3XQA
XPATARTG3VEXW6EQUZ33HZ32HEK5UAO3ORVLORCNQ4NMXOELZPVUTWDEJI,22.473082149463814,0.0886683581415745,IUUPYALYSTHKJZ5SCMXDUG2QT65OBGXZHDOY66XK4PSAY2QNT5UA
LIONS6PJKO5GEIAW5IL2XANQLR6L3GJ4F75VUJN3Q53RJAID4PGJZQG4OU,22.1837826064161,0.08752691633477007,BN7MTV6RPTVQMPGSBN25JY6G6CKQRUQD3TADX7WSUY7HPGVWUESQ
